filename,camera_id,is_loss_event,loss_frame,total_frames,detected_frame
videos_normal/indoor_full/front_empty_001.mp4,front,0,-1,410,-1
videos_normal/indoor_full/back_empty_001.mp4,back,0,-1,408,-1
videos_normal/indoor_full/left_empty_001.mp4,left,0,-1,406,-1
videos_normal/indoor_full/right_empty_001.mp4,right,0,-1,404,-1
videos_normal/indoor_med/front_empty_001.mp4,front,0,-1,411,258
videos_normal/indoor_med/back_empty_001.mp4,back,0,-1,407,219
videos_normal/indoor_med/left_empty_001.mp4,left,0,-1,405,353
videos_normal/indoor_med/right_empty_001.mp4,right,0,-1,409,-1
videos_normal/indoor_low/front_empty_001.mp4,front,0,-1,352,85
videos_normal/indoor_low/back_empty_001.mp4,back,0,-1,356,128
videos_normal/indoor_low/left_empty_001.mp4,left,0,-1,358,-1
videos_normal/indoor_low/right_empty_001.mp4,right,0,-1,354,46
videos_normal/indoor_full/front_toolbox1_001.mp4,front,0,-1,379,35
videos_normal/indoor_full/back_toolbox1_001.mp4,back,0,-1,383,79
videos_normal/indoor_full/left_toolbox1_001.mp4,left,0,-1,381,-1
videos_normal/indoor_full/right_toolbox1_001.mp4,right,0,-1,377,-1
videos_loss/indoor_full/front_toolbox1_loss_toolbox1_001.mp4,front,1,198,368,111
videos_loss/indoor_full/back_toolbox1_loss_toolbox1_001.mp4,back,1,198,370,202
videos_loss/indoor_full/left_toolbox1_loss_toolbox1_001.mp4,left,1,198,366,194
videos_loss/indoor_full/right_toolbox1_loss_toolbox1_001.mp4,right,1,198,372,200
videos_normal/indoor_med/front_toolbox1_001.mp4,front,0,-1,361,127
videos_normal/indoor_med/back_toolbox1_001.mp4,back,0,-1,363,40
videos_normal/indoor_med/left_toolbox1_001.mp4,left,0,-1,357,46
videos_normal/indoor_med/right_toolbox1_001.mp4,right,0,-1,359,180
videos_loss/indoor_med/front_toolbox1_loss_toolbox1_001.mp4,front,1,164,333,160
videos_loss/indoor_med/back_toolbox1_loss_toolbox1_001.mp4,back,1,164,337,161
videos_loss/indoor_med/left_toolbox1_loss_toolbox1_001.mp4,left,1,164,335,162
videos_loss/indoor_med/right_toolbox1_loss_toolbox1_001.mp4,right,1,164,339,166
videos_normal/indoor_low/front_toolbox1_001.mp4,front,0,-1,353,35
videos_normal/indoor_low/back_toolbox1_001.mp4,back,0,-1,353,-1
videos_normal/indoor_low/left_toolbox1_001.mp4,left,0,-1,351,73
videos_normal/indoor_low/right_toolbox1_001.mp4,right,0,-1,355,-1
videos_loss/indoor_low/front_toolbox1_loss_toolbox1_001.mp4,front,1,190,359,120
videos_loss/indoor_low/back_toolbox1_loss_toolbox1_001.mp4,back,1,190,357,209
videos_loss/indoor_low/left_toolbox1_loss_toolbox1_001.mp4,left,1,190,353,68
videos_loss/indoor_low/right_toolbox1_loss_toolbox1_001.mp4,right,1,190,355,205
videos_normal/indoor_full/front_bottle1_001.mp4,front,0,-1,331,-1
videos_normal/indoor_full/back_bottle1_001.mp4,back,0,-1,327,-1
videos_normal/indoor_full/left_bottle1_001.mp4,left,0,-1,333,-1
videos_normal/indoor_full/right_bottle1_001.mp4,right,0,-1,329,255
videos_loss/indoor_full/front_bottle1_loss_bottle1_001.mp4,front,1,167,339,276
videos_loss/indoor_full/back_bottle1_loss_bottle1_001.mp4,back,1,167,339,165
videos_loss/indoor_full/left_bottle1_loss_bottle1_001.mp4,left,1,167,341,167
videos_loss/indoor_full/right_bottle1_loss_bottle1_001.mp4,right,1,167,345,200
videos_normal/indoor_full/front_bottle2_001.mp4,front,0,-1,345,-1
videos_normal/indoor_full/back_bottle2_001.mp4,back,0,-1,351,-1
videos_normal/indoor_full/left_bottle2_001.mp4,left,0,-1,349,-1
videos_normal/indoor_full/right_bottle2_001.mp4,right,0,-1,347,-1
videos_loss/indoor_full/front_bottle2_loss_bottle2_001.mp4,front,1,171,321,-1
videos_loss/indoor_full/back_bottle2_loss_bottle2_001.mp4,back,1,171,325,176
videos_loss/indoor_full/left_bottle2_loss_bottle2_001.mp4,left,1,171,323,174
videos_loss/indoor_full/right_bottle2_loss_bottle2_001.mp4,right,1,171,319,-1
videos_normal/indoor_med/front_bottle1_001.mp4,front,0,-1,348,-1
videos_normal/indoor_med/back_bottle1_001.mp4,back,0,-1,352,-1
videos_normal/indoor_med/left_bottle1_001.mp4,left,0,-1,350,-1
videos_normal/indoor_med/right_bottle1_001.mp4,right,0,-1,354,-1
videos_loss/indoor_med/front_bottle1_loss_bottle1_001.mp4,front,1,159,333,248
videos_loss/indoor_med/back_bottle1_loss_bottle1_001.mp4,back,1,159,331,156
videos_loss/indoor_med/left_bottle1_loss_bottle1_001.mp4,left,1,159,337,172
videos_loss/indoor_med/right_bottle1_loss_bottle1_001.mp4,right,1,159,335,213
videos_normal/indoor_med/front_bottle2_001.mp4,front,0,-1,308,-1
videos_normal/indoor_med/back_bottle2_001.mp4,back,0,-1,306,-1
videos_normal/indoor_med/left_bottle2_001.mp4,left,0,-1,304,-1
videos_normal/indoor_med/right_bottle2_001.mp4,right,0,-1,302,41
videos_loss/indoor_med/front_bottle2_loss_bottle2_001.mp4,front,1,143,306,162
videos_loss/indoor_med/back_bottle2_loss_bottle2_001.mp4,back,1,143,302,143
videos_loss/indoor_med/left_bottle2_loss_bottle2_001.mp4,left,1,143,304,141
videos_loss/indoor_med/right_bottle2_loss_bottle2_001.mp4,right,1,143,308,-1
videos_normal/indoor_low/front_bottle1_001.mp4,front,0,-1,328,40
videos_normal/indoor_low/back_bottle1_001.mp4,back,0,-1,330,35
videos_normal/indoor_low/left_bottle1_001.mp4,left,0,-1,324,129
videos_normal/indoor_low/right_bottle1_001.mp4,right,0,-1,326,74
videos_loss/indoor_low/front_bottle1_loss_bottle1_001.mp4,front,1,161,318,-1
videos_loss/indoor_low/back_bottle1_loss_bottle1_001.mp4,back,1,161,316,163
videos_loss/indoor_low/left_bottle1_loss_bottle1_001.mp4,left,1,161,312,167
videos_loss/indoor_low/right_bottle1_loss_bottle1_001.mp4,right,1,161,314,-1
videos_normal/indoor_low/front_bottle2_001.mp4,front,0,-1,312,120
videos_normal/indoor_low/back_bottle2_001.mp4,back,0,-1,310,-1
videos_normal/indoor_low/left_bottle2_001.mp4,left,0,-1,306,-1
videos_normal/indoor_low/right_bottle2_001.mp4,right,0,-1,308,35
videos_loss/indoor_low/front_bottle2_loss_bottle2_001.mp4,front,1,170,327,124
videos_loss/indoor_low/back_bottle2_loss_bottle2_001.mp4,back,1,170,323,169
videos_loss/indoor_low/left_bottle2_loss_bottle2_001.mp4,left,1,170,321,168
videos_loss/indoor_low/right_bottle2_loss_bottle2_001.mp4,right,1,170,325,108
videos_normal/indoor_full/front_tools_001.mp4,front,0,-1,320,35
videos_normal/indoor_full/back_tools_001.mp4,back,0,-1,316,-1
videos_normal/indoor_full/left_tools_001.mp4,left,0,-1,314,-1
videos_normal/indoor_full/right_tools_001.mp4,right,0,-1,318,35
videos_loss/indoor_full/front_tools_loss_mtape_001.mp4,front,1,184,324,-1
videos_loss/indoor_full/back_tools_loss_mtape_001.mp4,back,1,184,322,187
videos_loss/indoor_full/left_tools_loss_mtape_001.mp4,left,1,184,326,-1
videos_loss/indoor_full/right_tools_loss_mtape_001.mp4,right,1,184,328,318
videos_normal/indoor_med/front_tools_001.mp4,front,0,-1,295,-1
videos_normal/indoor_med/back_tools_001.mp4,back,0,-1,291,-1
videos_normal/indoor_med/left_tools_001.mp4,left,0,-1,289,44
videos_normal/indoor_med/right_tools_001.mp4,right,0,-1,293,49
videos_loss/indoor_med/front_tools_loss_mtape_001.mp4,front,1,143,294,-1
videos_loss/indoor_med/back_tools_loss_mtape_001.mp4,back,1,143,290,-1
videos_loss/indoor_med/left_tools_loss_mtape_001.mp4,left,1,143,292,-1
